Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
2004,15.87176856,0,0,0.626547754,148.7746383,18.77877649,44.81031588,38.56801853,250.1199373,279.5711468,300.1859045,4.176944137,1101.483998
2005,0.506731749,2.180258512,2.263348848,97.67489383,23.8644979,19.83232254,100.0849147,97.12407391,161.5540086,855.1702677,539.3949336,438.6942869,2338.344539
2006,1.028903067,0,6.931426704,14.48966408,11.17235565,63.52218834,63.94619356,120.4038573,151.3450109,490.3972234,278.2924445,28.62851273,1230.15778
2007,0,7.632412761,0,1.361397147,21.81842511,79.3549199,195.894465,228.1234912,118.9160548,274.1806714,91.19421062,264.3185082,1282.794556
2008,71.3318882,7.725194573,132.5198995,9.351329803,0.76346311,89.90141287,52.83719498,130.39179,128.8649837,357.3059278,545.5418866,12.29804754,1538.833019
2009,11.61331995,0,1.971756339,0,12.46539757,66.33694807,37.59763461,113.0728897,114.8151189,61.12379302,578.2112832,191.1182791,1188.32642
2010,1.230815381,0.120789222,0,0,193.9845879,130.4748111,247.108631,329.7319173,178.2481117,219.6521431,230.7219979,288.8349686,1820.108773
2011,11.62608624,87.63575935,0,54.2870996,10.95159805,73.99058539,137.4666191,202.763795,106.8651855,185.982442,413.2905822,147.4664359,1432.326188
2012,6.139318168,0,2.277189732,42.24750006,6.336331695,66.06496513,100.6849497,107.7377865,132.283662,280.4636663,153.1891334,273.6299987,1171.054501
2013,0,28.34120442,17.69457054,0.921063781,2.64257288,95.21519758,144.2951234,144.9597347,224.9506418,196.3075755,111.9398093,47.80766977,1015.075164
2014,0,3.314341784,0,0,11.01875019,77.59063734,80.32955107,142.3159315,114.7787567,310.8011509,215.0034279,142.543634,1097.696181
2015,2.129869103,0,0,47.1215992,38.05223274,40.86931674,203.7234182,139.865411,97.20281324,183.6587805,1051.923256,506.5534667,2311.100163
2016,0.421057731,0,0,0,216.8251621,133.1434733,41.26322035,24.52138935,264.6841415,16.40993667,73.84779972,219.9156405,991.0318212
2017,3.412927151,0,0,0,14.0918113,68.55056137,110.6493139,322.0585629,121.9961927,330.9330168,538.1986938,61.70057118,1571.591651
2018,0.541745901,0,2.730167389,0,0,27.99996015,49.58505845,136.1709611,26.4891094,171.8233545,167.7010117,23.98897797,607.0303466
2019,0,1.052644253,0,0.829021096,0,18.96195855,108.3682398,170.4843456,207.4861629,369.6424654,97.74126834,208.6719161,1183.238022
2020,44.87890553,0.210528865,0,16.30893523,0,24.1514203,87.04973856,75.4373405,162.249864,253.0013338,438.8010185,208.7601382,1310.849223
2021,122.1927634,7.437156081,0,19.37691158,11.48430181,43.40905458,260.4401859,185.4993285,93.65756083,228.6255028,1061.642222,123.6062256,2157.371213
